,coef,OR,p
Intercept,0.4823431454079366,1.6198655393655546,0.03660334082319513
C(season)[T.1],-0.3584814534701071,0.6987365848573801,0.04890691712527946
seconds_after_rat_arrival,0.00030393325421088367,1.000303979446602,0.2794995759259198
hours_after_sunset,-0.05225955510351993,0.9490824956654131,0.06024860821644847
